"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 17 17:06:18 EET 2025","Fri Oct 17 17:06:19 EET 2025","1242","","com.stellarburgers.tests.UserTest","","com.stellarburgers.tests.UserTest","testCreateUniqueUser","Создание уникального пользователя",""
"passed","Fri Oct 17 17:06:33 EET 2025","Fri Oct 17 17:06:35 EET 2025","1942","","com.stellarburgers.tests.OrderTest","","com.stellarburgers.tests.OrderTest","testCreateOrderWithoutIngredients","Создание заказа без ингредиентов",""
"passed","Fri Oct 17 17:06:19 EET 2025","Fri Oct 17 17:06:21 EET 2025","1728","","com.stellarburgers.tests.AuthTest","","com.stellarburgers.tests.AuthTest","testLoginWithValidCredentials","Логин под существующим пользователем",""
"passed","Fri Oct 17 17:06:15 EET 2025","Fri Oct 17 17:06:17 EET 2025","2268","","com.stellarburgers.tests.UserTest","","com.stellarburgers.tests.UserTest","testCreateUserWithoutRequiredField","Создание пользователя без заполнения обязательного поля",""
"passed","Fri Oct 17 17:06:26 EET 2025","Fri Oct 17 17:06:28 EET 2025","1934","","com.stellarburgers.tests.OrderTest","","com.stellarburgers.tests.OrderTest","testGetUserOrdersWithoutAuth","Получение заказов неавторизованного пользователя",""
"passed","Fri Oct 17 17:06:28 EET 2025","Fri Oct 17 17:06:33 EET 2025","4706","","com.stellarburgers.tests.OrderTest","","com.stellarburgers.tests.OrderTest","testCreateOrderWithAuthAndIngredients","Создание заказа с авторизацией и ингредиентами",""
"passed","Fri Oct 17 17:06:35 EET 2025","Fri Oct 17 17:06:36 EET 2025","1868","","com.stellarburgers.tests.OrderTest","","com.stellarburgers.tests.OrderTest","testCreateOrderWithInvalidIngredientHash","Создание заказа с неверным хешем ингредиентов",""
"passed","Fri Oct 17 17:06:36 EET 2025","Fri Oct 17 17:06:39 EET 2025","2425","","com.stellarburgers.tests.OrderTest","","com.stellarburgers.tests.OrderTest","testGetUserOrdersWithAuth","Получение заказов авторизованного пользователя",""
"passed","Fri Oct 17 17:06:17 EET 2025","Fri Oct 17 17:06:18 EET 2025","1020","","com.stellarburgers.tests.UserTest","","com.stellarburgers.tests.UserTest","testCreateExistingUser","Создание пользователя, который уже зарегистрирован",""
"passed","Fri Oct 17 17:06:24 EET 2025","Fri Oct 17 17:06:26 EET 2025","1636","","com.stellarburgers.tests.AuthTest","","com.stellarburgers.tests.AuthTest","testUpdateUserWithoutAuth","Изменение данных пользователя без авторизации",""
"passed","Fri Oct 17 17:06:21 EET 2025","Fri Oct 17 17:06:23 EET 2025","1654","","com.stellarburgers.tests.AuthTest","","com.stellarburgers.tests.AuthTest","testLoginWithInvalidPassword","Логин с неверным паролем",""
"passed","Fri Oct 17 17:06:23 EET 2025","Fri Oct 17 17:06:24 EET 2025","1721","","com.stellarburgers.tests.AuthTest","","com.stellarburgers.tests.AuthTest","testUpdateUserWithAuth","Изменение данных пользователя с авторизацией",""
"passed","Fri Oct 17 17:06:39 EET 2025","Fri Oct 17 17:06:41 EET 2025","1836","","com.stellarburgers.tests.OrderTest","","com.stellarburgers.tests.OrderTest","testCreateOrderWithoutAuth","Создание заказа без авторизации",""
